Regional,Municipio,Empreendimento,Modalidade,Classe,Atividade,Ano,Mes,Data de Publicacao,Decisao
SUPRAM Sul de Minas,Itutinga,3W TRANSPORTES EIRELI ,LAS Cadastro,1,F-02-01-1-Transporte rodoviário de produtos e resíduos perigosos,2019,Junho,03/06/2019,Deferida
SUPRAM Sul de Minas,Luminárias,HERNANE JOSÉ FERREIRA ME,LAS Cadastro,2,"B-01-09-0-Aparelhamento, beneficiamento, preparação e transformação de minerais não metálicos, não instalados na área da planta de extração",2019,Junho,04/06/2019,Deferida
SUPRAM Sul de Minas,Bom Repouso,LATICÍNIOS JOANA LTDA.,LAS Cadastro,2,"D-01-06-1-Fabricação de produtos de laticínios, exceto envase de leite fluido",2019,Junho,04/06/2019,Deferida
SUPRAM Sul de Minas,Pouso Alegre,UNILEVER BRASIL INDUSTRIAL LTDA.,LAS Cadastro,2,"F-06-01-7-Postos revendedores, postos ou pontos de abastecimento, instalações de sistemas retalhistas, postos flutuantes de combustíveis e postos revendedores de combustíveis de aviação",2019,Junho,04/06/2019,Deferida
SUPRAM Sul de Minas,Itamonte,CLÁUDIO PENEDO SCARPA E OUTROS - GRANJA SANTA MARTA RECRIA ITAMONTE ,LAS Cadastro,2,G-02-02-1-Avicultura,2019,Junho,04/06/2019,Deferida
SUPRAM Sul de Minas,Nepomuceno,CERÂMICA OLIVEIRA & OLIVEIRA LTDA.,LAS Cadastro,1,"B-01-03-1-Fabricação de cerâmica vermelha (telhas, tijolos e outros artigos de barro cozido), inclusive com utilização de até 10% dos resíduos “pó de balão” ou “lama de alto-forno” à base seca, em substituição de percentual equivalente na carga de argila",2019,Junho,04/06/2019,Deferida
SUPRAM Alto São Francisco,Capitólio,CAPITOLIO ALIMENTOS LTDA,LAS Cadastro,2,"G-04-01-4-Beneficiamento primário de produtos agrícolas: limpeza, lavagem, secagem, despolpamento, descascamento, classificação e/ou tratamento de sementes",2019,Junho,05/06/2019,Deferida
SUPRAM Alto São Francisco,Cláudio,METALURGICA AMAPA LTDA FILIAL,LAS Cadastro,2,"B-05-04-5-Fabricação de estruturas metálicas e artefatos de trefilados de ferro, aço e de metais não-ferrosos, sem tratamento químico superficial, exceto móveis",2019,Junho,05/06/2019,Deferida
SUPRAM Alto São Francisco,Formiga,ARLAFOR INDUSTRIA E COMERCIO DE ARLA LTDA,LAS Cadastro,2,"C-04-01-4-Produção de substâncias químicas e de produtos químicos inorgânicos, orgânicos, organo-inorgânicos, exceto produtos derivados do processamento do petróleo, de rochas oleígenas, do carvão-de-pedra e da madeira",2019,Junho,05/06/2019,Deferida
SUPRAM Alto São Francisco,Morada Nova de Minas,APARECIDA GISLEY DA SILVA ARAUJO ME,LAS Cadastro,2,"D-01-05-8-Processamento de subprodutos de origem animal para produção de sebo, óleos e farinha",2019,Junho,05/06/2019,Deferida
