titulo,descricao,categoria,data-hora-publicacao,link,doc
"Vitória do Atlético sobre Seleção Brasileira no Mineirão faz 50 anos; relembre 'casos', curiosidades e a cobertura do jogo histórico","Equipe alvinegra, com o uniforme vermelho da Federação Mineira de Futebol (FMF), superou o poderoso time de Pelé, Tostão, Rivellino e Gérson em Belo Horizonte",ESPECIAL,03/09/2019 - 06:30,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/03/noticia_atletico_mg,2007613/vitoria-do-atletico-sobre-selecao-brasileira-faz-50-anos-relembre.shtml",vitoria atletico sobre selecao brasileira mineirao faz  anos relembre casos curiosidades cobertura jogo historicoequipe alvinegra uniforme vermelho federacao mineira futebol fmf superou poderoso time pele tostao rivellino gerson belo horizonte
"Com sete clubes, Campeonato Mineiro Feminino começa dia 28 e terá final em jogo único",Mineirão ou Independência receberá decisão do Estadual feminino,CAMPEONATO MINEIRO FEMININIO DE FUTEBOL,02/09/2019 - 19:12,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/1,9,1,17/2019/09/02/noticia_interior,2006806/com-sete-clubes-campeonato-mineiro-feminino-comeca-dia-28-de-setembro.shtml",sete clubes campeonato mineiro feminino comeca dia  final jogo unicomineirao independencia recebera decisao estadual feminino
"'Boa sorte para o Fábio', diz Kalil sobre possível candidatura de goleiro do Cruzeiro à PBH","Atleta do time celeste é cotado para ser candidato a vice-prefeito de BH em chapa encabeçada por Professor Wendel (Solidariedade)
",PREFEITURA DE BH,02/09/2019 - 17:48,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/1,9,1,17/2019/09/02/noticia_interior,2005685/boa-sorte-diz-kalil-sobre-candidatura-de-goleiro-do-cruzeiro.shtml","boa sorte fabio diz kalil sobre possivel candidatura goleiro cruzeiro pbhatleta time celeste cotado ser candidato viceprefeito bh chapa encabecada professor wendel solidariedade
"
Ronaldinho Gaúcho e Assis têm pedido de liberação de passaportes negado pelo STF,Ex-craque está impedido de deixar o Brasil devido a crime ambiental,RONALDINHO GAÚCHO,02/09/2019 - 16:56,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/02/noticia_atletico_mg,2004979/ronaldinho-e-assis-tem-pedido-de-liberacao-de-passaportes-negado.shtml",ronaldinho gaucho assis tem pedido liberacao passaportes negado stfexcraque impedido deixar brasil devido crime ambiental
"Atlético tenta contratação de Wilson, goleiro do Coritiba",Experiente jogador de 35 anos é reserva de Muralha no clube paranaense,ATLÉTICO,02/09/2019 - 14:06,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/02/noticia_atletico_mg,2002414/atletico-tenta-contratacao-de-wilson-goleiro-do-coritiba.shtml",atletico tenta contratacao wilson goleiro coritibaexperiente jogador  anos reserva muralha clube paranaense
Última derrota do Inter por dois gols de diferença em casa ocorreu em 2015 em duelo contra o maior rival do Cruzeiro,"Quatro anos atrás, Atlético venceu o Colorado por 3 a 1, em jogo da 11ª rodada da Série A",COPA DO BRASIL,02/09/2019 - 08:00,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/1,9,1,10/2019/09/02/noticia_cruzeiro,1993908/ultima-derrota-do-inter-por-dois-gols-de-diferenca-em-casa-ocorreu-em.shtml",ultima derrota inter dois gols diferenca casa ocorreu  duelo contra maior rival cruzeiroquatro anos atras atletico venceu colorado   jogo a rodada serie
Rodrigo Santana liga 'sinal de alerta' no Atlético e espera recuperar 'pontos perdidos',Galo perdeu últimos três jogos que disputou no Campeonato Brasileiro,ATLÉTICO,02/09/2019 - 07:00,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/02/noticia_atletico_mg,1993605/atletico-liga-sinal-de-alerta-e-espera-recuperar-pontos-perdidos.shtml",rodrigo santana liga sinal alerta atletico espera recuperar pontos perdidosgalo perdeu ultimos tres jogos disputou campeonato brasileiro
"Convocado, Otero será mais um desfalque do Atlético para jogo contra o Botafogo",Galo não contará com quatro jogadores para o duelo contra o time carioca,ATLÉTICO,02/09/2019 - 06:00,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/02/noticia_atletico_mg,1993195/otero-sera-mais-um-desfalque-do-atletico-para-jogo-contra-o-botafogo.shtml",convocado otero desfalque atletico jogo contra botafogogalo contara quatro jogadores duelo contra time carioca
Jogadores do Atlético lamentam gol sofrido no fim: 'O empate seria mais justo',"Galo perdeu para o Corinthians por 1 a 0, em Itaquera, pelo Brasileiro",ATLÉTICO,01/09/2019 - 22:24,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/01/noticia_atletico_mg,1992588/jogadores-do-atletico-lamentam-gol-sofrido-no-fim.shtml",jogadores atletico lamentam gol sofrido fim empate justogalo perdeu corinthians   itaquera brasileiro
"Rodrigo Santana vê derrota injusta, comenta conversa com Cleiton e cita o que faltou ao Atlético",Treinador analisou o revés nos últimos minutos para o Corinthians,ATLÉTICO,01/09/2019 - 22:22,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/01/noticia_atletico_mg,1992589/santana-ve-derrota-injusta-conversa-com-cleiton-e-analisa-atletico.shtml",rodrigo santana ve derrota injusta comenta conversa cleiton cita faltou atleticotreinador analisou reves ultimos minutos corinthians
Atlético vive pior momento no Brasileiro e deixa o G6 pela primeira vez,"Contra o Corinthians, Galo chegou à terceira derrota consecutiva",ATLÉTICO,01/09/2019 - 21:35,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/01/noticia_atletico_mg,1991980/atletico-vive-pior-momento-no-brasileiro-e-deixa-g6-pela-primeira-vez.shtml",atletico vive pior momento brasileiro deixa g primeira vezcontra corinthians galo chegou terceira derrota consecutiva
Cazares se isola como segundo estrangeiro com mais jogos com a camisa do Atlético,Meia equatoriano chegou a 186 partidas pelo alvinegro,ATLÉTICO,01/09/2019 - 21:05,"https://www.mg.superesportes.com.br/app/noticias/futebol/atletico-mg/2019/09/01/noticia_atletico_mg,1991715/cazares-se-isola-como-segundo-estrangeiro-com-mais-jogos-pelo-atletico.shtml",cazares isola segundo estrangeiro jogos camisa atleticomeia equatoriano chegou  partidas alvinegro
