noticia;target
"Com novas categorias, prêmio Desafio Pfizer abre inscrições para sua quarta edição 
 Além de valorizar o trabalho de startups e inventores, iniciativa agora vai premiar médicos e universitáriosEstão abertas as inscrições do 4º Desafio Pfizer, um prêmio criado para estimular a inovação e o empreendedorismo no Brasil, com foco na área da saúde. Realizada com apoio da Innovster, a premiação chega à quarta edição com uma versão ampliada, composta por duas categorias. A primeira, intitulada “Sempre on Innovation”, será voltada para jovens empresas de tecnologia (startups), inventores/makers e universitários. A segunda, denominada “Sempre on Medical”, será destinada a médicos.“Com seus prêmios, a Pfizer incentiva pessoas de visão a transformarem a realidade da saúde, por meio do empreendedorismo, da pesquisa, da educação continuada e da inovação, sempre colocando o paciente em primeiro lugar”, afirma o diretor comercial da companhia, Vagner Pin.Interessados em participar da iniciativa podem se inscrever por meio do portal www.desafiopfizer.com.br e conhecer o regulamento do prêmio. No dia 04 de dezembro, os finalistas e os vencedores de todas as categorias serão anunciados durante a cerimônia de premiação, que ocorrerá no Google Campus São Paulo, no bairro do Paraíso, em São Paulo.Sempre on InnovationA categoria “Sempre on Innovation” é destinada à valorização de soluções digitais e produtos inovadores concebidos por startups e inventores/makers com o objetivo de facilitar a prática médica e a busca por saúde e bem-estar. Também reconhecerá o talento de universitários que apresentem projetos, por exemplo um Trabalho de Conclusão de Curso (TCC), que tragam benefícios à área de saúde com inovação e tecnologia.Os autores dos melhores trabalhos por subcategoria receberão passagens aéreas e hospedagens para participar do SXSW Conference & Festivals 2019, que ocorrerá entre 7 e 13 de março, em Austin, nos Estados Unidos. Todos os finalistas serão convidados a participar de uma semana de incubação em inovação e treinamentos, que será composta por palestras, mentorias, workshops no Laboratório de Inovação da Pfizer (Pfizer sempre on Lab), em São Paulo.Sempre on MedicalJá na categoria “Sempre on Medical”, a proposta é reconhecer as melhores pesquisas em três áreas do conhecimento: clínica, epidemiológica e básica (como biologia, bioquímica e farmacologia). “Desta maneira, vamos fomentar a inovação, por meio do apoio à investigação científica”, afirma o diretor médico da companhia, Eurico Correia.Os médicos responsáveis pelos trabalhos vencedores em cada área ganharão passagens aéreas e hospedagens HIMSS19 Global Conference & Exhibition, de 10 a 15 de fevereiro de 2019, em Orlando, nos Estados Unidos. Os segundos e terceiros colocados de cada subcategoria receberão convites para participar de dois dias da HIMSSHospitalar 2019, que será realizada entre 21 e 24 de maio, em São Paulo. Todos os finalistas poderão assistir a uma conferência de um dia no Laboratório de Inovação da Pfizer sobre gestão e boas práticas gerenciais na saúde, voltadas para o dia a dia do médico.";0
"Chatbot fortalece presença digital do Hapvida 
 As redes sociais estão cada vez mais presentes no cotidiano das pessoas e facilitar os acessos aos diversos serviços é fundamental para otimizar a vida dos clientes. Nessa perspectiva, sempre em busca de inovação, o Hapvida – operadora de saúde com mais de 3,8 milhões de clientes em todo o país – lançou em seu Facebook o chatbot, uma ferramenta onde pessoas com contas ativas na página podem marcar e desmarcar consultas, entre outras solicitações, sem sair de sua rede social.Hoje, o Hapvida é responsável pela maior página do Facebook de operadora de saúde do Brasil, com quase 800 mil curtidas. Na rede, a operadora tem um sistema de resposta que funciona praticamente em tempo real, o que ajuda a perceber como o conteúdo é recebido pelo público. Isso serve para balizar as ações de comunicação e operação. Os conteúdos do Facebook são replicados em outras redes sociais e são monitorados assuntos de potencial interesse do público.Entre os diversos serviços na área digital, o cliente já possui um aplicativo disponível nas principais lojas de app, cobrindo assim uma outra fatia do público que opta por este tipo de canal de comunicação digital. Ainda este ano, foi lançado uma nova funcionalidade no aplicativo, a Autorização Online. Com a nova função, os beneficiários não precisam mais se deslocar até uma central de atendimento presencial para autorizar exames laboratoriais, exames de imagem como ultrassonografias, tomografias e etc.DigitalAlém disso, o Hapvida conta hoje com um portal multi-serviço onde os beneficiários diretos do plano de saúde podem marcar consultas e exames, tendo assim mais comodidade e segurança. O site contém serviços para gestão de planos empresariais e para a força de venda.A operadora também está no site Reclame Aqui, o maior no segmento de reclamações. O objetivo é marcar presença em diferentes canais para promover uma saúde de qualidade aos beneficiários.ComercialNa parte comercial, o Hapvida conta com três sites. Para planos de saúde, o público com interesse faz o cadastro no site e recebe, posteriormente, o contato do setor comercial. No site de Vendas Odonto, qualquer pessoa residente em território nacional pode contratar um plano odontológico e pagar com cartão de crédito. Existe ainda o site PME Odonto, onde pequenas e médias empresas conseguem fazer a contratação do benefício de plano odonto para seus colaboradores e o pagamento é feito por boleto bancário.Sobre o HapvidaCom 3,8 milhões de clientes, o Hapvida hoje se posiciona como uma das maiores operadoras de saúde do Brasil. Os números superlativos mostram o sucesso de uma estratégia baseada na gestão direta da operação e nos constantes investimentos: atualmente, são 20 mil colaboradores diretos envolvidos na operação de 26 hospitais, 75 clínicas médicas, 19 prontos atendimentos, 84 centros de diagnóstico por imagem e coleta laboratorial (Vida&Imagem) distribuídos em 11 estados onde a operadora atua com rede própria.";0
"Aplicativo Hello Mom permite o compartilhamento de imagens do ultrassom do bebê 
 Pensando em tornar ainda mais especial o momento da gestação, a Samsung, referência em tecnologia e inovação, desenvolveu o aplicativo Hello Mom* com o objetivo de facilitar o compartilhamento de informações do desenvolvimento ao nascimento do bebê. Esse sistema único de transferência de imagens, disponível para smartphones Android e IOS, se comunica com os equipamentos de ultrassom da Samsung, como o HS40, HS50, HS60, HS70 e WS80A Elite e, por meio de uma rede Wi-Fi dedicada, consegue receber imagens e vídeos do exame, além de armazenar informações biométricas sobre o crescimento do bebê.As imagens são geradas em alta qualidade e a tecnologia permite aos usuários o download automático dos dados para que os casais possam criar álbuns com todos os momentos inesquecíveis do período neonatal. O aplicativo, que pode ser baixado gratuitamente, possibilita também à futura mamãe o compartilhamento instantâneo das imagens e vídeos nas redes sociais. O objetivo do app é justamente facilitar o compartilhamento das informações da gestação com amigos e familiares.A funcionalidade também armazena os registros de crescimento do feto, como peso corporal, circunferência da cabeça, entre outras informações fundamentais do bebê, funcionando como um local virtual de armazenamento dos dados e que pode ser utilizado a cada nova consulta com o obstetra.Outra função da tecnologia é o “Diário de Nascimento”, desenvolvido exclusivamente para que os pais possam criar textos e fazer anotações como um diário interativo e completo durante toda a gravidez. Essa funcionalidade garante ainda mais praticidade a este momento único, e amplia as possibilidades dos futuros papais, que também podem manter as recordações em ambientes virtuais, além dos tradicionais cadernos ou diários em papel.“Com o aplicativo Hello Mom, a Samsung proporciona ainda mais interatividade em momentos tão marcantes para as famílias e que ficam registrados na memória, como o período de gestação”, completa Nelson Ozassa, diretor da Divisão de HME da Samsung Brasil.*O aplicativo anunciado pode ser descontinuado a qualquer momento e sem aviso prévio.";0
"SulAmérica Saúde acumula mais de 2M de usuários em aplicativo 
 O aplicativo mobile SulAmérica Saúde completa seis anos desde o lançamento com mais de dois milhões de usuários e serviços inovadores com foco na experiência do cliente. Somente no primeiro semestre de 2018, foram registrados mais de 250 mil downloads. Por meio do app, o segurado pode acessar sua carteirinha virtual, aceita em toda a rede referenciada, e encontrar médicos, clínicas e hospitais por geolocalização, além de consultar medicamentos com desconto, coberturas contratadas e o extrato de utilização do plano.Combinando tecnologias disruptivas de inteligência artificial, o aplicativo oferece, ainda, os serviços de atendimento ao cliente via chatbot e de solicitação de reembolso para consultas de até R$ 1 mil por meio do envio de uma foto do recibo, que pode ser feita com a câmera do smartphone. Outra funcionalidade pioneira é o Médico em Casa, que permite agendar atendimento médico em domicílio para crianças de até 12 anos e beneficiários a partir de 65 anos em 13 cidades brasileiras. Até o momento, foram registrados cerca de 1.700 atendimentos pediátricos, com índice de satisfação (NPS) superior a 90%.“O sucesso do aplicativo SulAmérica Saúde, que é um dos mais inovadores e completos do mercado, comprova nossa visão de que a experiência do cliente deve estar sempre no centro da estratégia de investimentos em tecnologia. O app coloca na palma da mão do nosso beneficiário tudo o que ele precisa para aproveitar os benefícios do plano a qualquer hora e em qualquer lugar”, afirma o diretor de Estratégia Digital, Inovação e Tecnologia da SulAmérica, Cristiano Barbieri.";0
"Automação do atendimento: qual deve ser o ponto de partida? 
 Automatizar o atendimento é um caminho já trilhado por empresas dos mais diversos setores, não apenas para melhorar a relação com consumidores e experiencia do cliente, por meio de um atendimento mais ágil e assertivo, mas também para reduzir custos e tornar a operação escalável. Ainda, direcionar os profissionais do setor para resolver questões mais complexas, que exijam criatividade e capacidade cognitiva.Mas, antes de dar esse passo, é necessário estar atento àquilo que será o ponto de partida na implantação desse projeto: Contar com profissionais que conheçam o negócio, capazes de analisar de maneira abrangente seus atuais processos de atendimento, o perfil de seus clientes e, principalmente, alinhar essas informações à estratégia de crescimento de sua área e de sua empresa.Apenas um diagnóstico preciso, que considere onde seu atendimento se encontra X onde pretende chegar, pode contribuir para que o projeto de automação cumpra seu objetivo inicial. E nem sempre é possível delegar a profissionais internos a missão de buscar as soluções mais adequadas para a resolução dos seus problemas.Isso porque, para realizar esse diagnóstico, não basta só conhecer bastante das novas tecnologias disponíveis no mercado de automação de atendimento, é preciso ter um olhar do negócio sob a perspectiva do cliente, para que suas necessidades sejam atendidas com precisão, com impactos diretos em sua satisfação e consequente fidelização.É necessário que, esse profissional ou empresa parceira seja capaz de entender todas as nuances do seu negócio, as características do atendimento ao consumidor no setor em que sua empresa atua, para assim ajudá-lo a construir um projeto que englobe suas principais demandas nessa área. Também precisa ter bem definido o objetivo e tática de como operacionalizar a automação, traçar os objetivos, que geralmente permeiam gerar uma melhor experiência do usuário, reduzir custo e permitir a escalabilidade da operação, além de ter em mente como fazê-lo. Se o foco é puramente no resultado mais rápido e menos custoso, contratar o serviço geralmente é a melhor solução. Se o objetivo é transformar essa solução em um produto, talvez criar sua própria ferramenta e metodologia pode fazer sentido. Agora se é manter a inteligência de atendimento ao cliente dentro de casa, mesmo que isso comprometa o resultado, operar uma ferramenta de mercado pode ser o caminho mais estratégico.Estamos falando aqui de uma decisão que pode implicar, inclusive, em mudanças culturais na empresa. Pois ao fazer essa escolha de implantação do atendimento automatizado, o gestor da área de atendimento ao cliente precisa parar de olhar apenas para sua operação e, mais do que isso, precisa entender que ela é um braço de uma operação macro da empresa. E o alinhamento à estratégia geral da companhia é requisito básico para que esse pontapé inicial seja certeiro.";0
"Merck e Medisafe lançam aplicativo para ajudar pacientes brasileiros a melhorarem adesão ao tratamento de doenças crônicas 
 A Merck, empresa líder em ciência e tecnologia, e a Medisafe, plataforma líder na criação de soluções para gerenciamento de medicamentos, anunciaram o lançamento de uma nova iniciativa que vai auxiliar milhares de pacientes com doenças crônicas, com objetivo de gerenciar a utilização de medicamentos e adesão aos tratamentos prescritos. O novo aplicativo foi lançado no Brasil, México e Rússia e pode ser baixado em IOS ou Android.A parceria entre Medisafe e Merck fornecerá ao paciente acesso a uma versão personalizada desse aplicativo, que já está disponível para o público em geral. Nessa versão, o paciente que usa medicamentos da Merck terá acesso a conteúdos exclusivos e mais informações sobre doenças e tratamentos, além da plataforma personalizada de adesão ao tratamento da Medisafe. Para ter acesso aos benefícios, basta baixar o aplicativo do Medisafe no seu celular e inserir os medicamentos que faz uso contínuo.Entre as principais vantagens estão:Possibilidade de criação de um alerta para informar o cuidador o momento de administrar o medicamentoRegistro em formato de gráfico de parâmetros importantes como resultados de glicemia ou de dosagem dos hormônios da tireoide. O registro e organização dessas informações auxilia o médico a entender melhor o comportamento do parâmetro em questão para tomada de decisão.Acompanhamento de quais medicamentos já foram administradosA cooperação foi anunciada pela primeira vez pela Merck em março de 2018. Desde então, a Medisafe tem trabalhado lado a lado com as equipes locais da Merck para o lançamento das versões regionais do aplicativo, que são adaptadas para as necessidades únicas dos pacientes de cada país.“Cerca de 60 milhões de pacientes em todo o mundo e 4 milhões no Brasil confiam nos medicamentos da Merck para tratamento de doenças crônicas. Infelizmente, sabemos que muitas vezes os pacientes não tomam seus medicamentos de acordo com a prescrição feita pelo profissional de saúde. Com a Medisafe, gostaríamos de ajudar os pacientes a organizarem melhor seus medicamentos e, portanto, melhorarem a adesão ao tratamento e, finalmente, alcançarem os melhores resultados possíveis”, disse Leif Moll, GM Strategy & Portfolio Expansion, Biopharma Business da Merck, Darmstadt, Alemanha.A taxa de adesão global gira em torno de 50% e pode ser consideravelmente menor nos países em desenvolvimento, onde essas taxas de adesão são mais difíceis de serem acompanhadas1. A falta de adesão ao tratamento pode levar a uma série de consequências evitáveis, assim como, afastamento do trabalho e perda da produtividade econômica. Essa parceria foi projetada para combater esses problemas, fornecendo uma solução digital para pacientes com diabetes tipo 2, distúrbios da tireoide e problemas cardiovasculares.O Brasil é o quarto país do mundo em número de pacientes com diabetes. São mais de 13 milhões de pessoas vivendo com uma doença cuja prevalência é de aproximadamente 6,9% da população, e que continua crescendo.1 Atualmente, o diabetes custa R$ 66 bilhões ao sistema de saúde brasileiro por ano e é esperado que esse valor cresça para R$ 108 bilhões até 2040. 2“Estamos satisfeitos por fazer uma parceria com a Merck, uma organização líder alinhada com os valores da Medisafe de colocar os pacientes em primeiro lugar e apoiar soluções digitais inovadoras para melhorar a adesão”, disse Omri Shor, CEO da Medisafe. “Os pacientes podem enfrentar enormes desafios no gerenciamento de seus medicamentos e a Medisafe está empolgada para fornecer a solução personalizada mais importante para combater a má adesão”.Referências:World Health OrganizationAdherence to Long-Term Therapies, Evidence for Action, 2013IMS Institute for Healthcare Informatics, July 2016 Report, “Improving Type 2 Diabetes Therapy Compliance and Persistence in Brazil How to Address Avoidable Economic and Societal Burden”";0
"Empresas brasileiras lançam solução de AI para diagnóstico de imagem 
 Pioneira no país no uso de Inteligência Artificial para os segmentos de crédito e seguros, a Neurotech está ingressando na área de saúde. A empresa fechou parceria com a PickCells, startup também criada no Porto Digital, que utiliza inteligência artificial para a detecção automática de padrões em medicina diagnóstica. As duas atuarão na área de diagnóstico de imagem. “A solução proporciona um ganho significativo de rapidez e assertividade na produção de laudos médicos em exames de imagem”, afirma Adrian Arnaud, sócio da Neurotech.Com a parceria, as empresas passarão a oferecer um sistema que analisa automaticamente imagens produzidas por Raio X, ressonâncias magnéticas e tomografias para identificar, em segundos, fissuras em ossos ou elementos característicos de patologias. Hoje, a atividade é realizada por médicos patologistas e radiologistas, que procuram visualmente por esses padrões. “Em parasitologia, por exemplo, alcançamos 94% de precisão, enquanto que um técnico bem treinado alcança, em média, uma assertividade de 79%”, diz Paulo Melo, cofundador da PickCells.Arnaud afirma que, por conta do uso da tecnologia, as empresas poderão atender laboratórios e hospitais de todo o país. “A imagens são enviadas eletronicamente. Há uma grande demanda por esses serviços, seja por conta do elevado volume de exames a serem realizados seja pela falta da infraestrutura necessária para a realização de laudos médicos a partir da análise de imagens”, diz.A principal vantagem oferecida pela solução, porém, é a assertividade e o ganho de produtividade. Por meio da inteligência artificial, padrões característicos são identificados imediatamente. “A solução fica em nuvem, onde o algoritmo identifica, na imagem, onde está, qual é o problema e a qual patologia ele está ligado. Com essa informação, há uma redução significativa de custos e ganho de rapidez. Laudos que demandam dias para ficarem prontos estarão disponíveis em segundos. Além disso, muitos hospitais sequer possuem radiologistas ou patologistas e acabam contratando terceirizados para ofertarem os laudos dos exames”, diz Melo.As duas empresas surgiram no Porto Digital. Fundada em 2000, a Neurotech foi a primeira empresa brasileira a utilizar Inteligência Artificial para oferecer soluções ao mercado de crédito e seguros. Tem registrado um crescimento anual de 30%, o que lhe valeu a 67ª posição na edição 2017 do ranking “As PMEs que Mais Crescem no Brasil”, elaborado pela Deloitte para a revista Exame.A PickCells foi fundada em 2014. Além de diagnóstico de imagem, atua com exames laboratoriais. Ainda em fase de INCUBAÇÃO, já recebeu aportes do Laboratório SABIN e do Banco Interamericano de Desenvolvimento Social, para o desenvolvimento de uma solução de AI voltada para a produção de automação em exames de microscopia, além de doenças negligenciadas. “Leishmaniose, esquistossomose e tuberculose são exemplos de doenças pouco trabalhadas. A ideia é oferecer não só para laboratórios análises clínicas e patológicas, mas que essas soluções cheguem, num segundo momento, ao público final, para que as pessoas possam fazer esses exames de forma rápida e barata”, diz.";0
"Plataforma viabiliza Telemedicina para todas as regiões do Brasil 
 A Telemedicina é uma realidade em diversos países mundo afora. Nos EUA, por exemplo, onde existem muitas companhias no setor, é possível não só realizar o atendimento médico online, como também identificar diagnósticos e fazer prescrições a partir da eficiência de um ambiente tecnológico. Neste segmento atua a Teldoctor, empresa brasileira que nasce com capacidade para realizar 150 mil atendimentos mensais em todo o país.Fundado pelo médico Luis Henrique Leonardo Pereira, o empreendimento utilizará um modelo de plataforma tecnológica no ar há oito anos no Brasil, e que já atendeu mais de 375 mil pacientes nas áreas de cardiologia, medicina preventiva e saúde sexual. Recentemente, a plataforma foi aprimorada com uma Inteligência Artificial vinda dos EUA, o que permite a ampliação do corpo clínico e o atendimento a diversas especialidades médicas.Para alçar este patamar, em 2018, a Teldoctor firmou parceria com a empresa americana M.A.I.A.S. Partners, responsável por investimentos em plataformas de tecnologia de diferentes países, com sedes em Miami e Dubai, e que agora amplia o seu know-how, dando início às operações da Teldoctor no Brasil.Com investimento estimado, até agora, em mais de R$13 milhões, o sistema utiliza o fundamento da inteligência artificial para filtrar as informações, e direcionar o paciente ao médico que fará o teleatendimento humanizado e personalizado. Os dados dos pacientes são armazenados sempre de forma sigilosa, e disponibilizados no prontuário eletrônico para que a equipe médica tenha acesso independentemente da localidade de ambos.Segundo o CEO do projeto, Marcelo Callegari Co-Funder da empresa americana M.A.I.A.S. Partners, o setor tem grande potencial de crescimento e a empresa está preparada para contribuir com este cenário. “Estamos com um novo investimento previsto de mais US$ 1,5 milhão para aprimorar as funcionalidades da plataforma, e garantir um atendimento ainda mais rápido e preciso”, afirma Callegari.Inicialmente, o programa terá a função de organizar as informações e facilitar o atendimento diário de 3 a 4 mil pacientes. Segundo Marcelo, o objetivo é que, em até um ano, a plataforma amplie esta capacidade e passe a atender mais de 1 milhão de pessoas por mês. Para isso, a empresa planeja instalar totens em diversos estabelecimentos, o que facilitaria atender, além de pacientes diretos, planos corporativos para empresas e cooperativas.A Teldoctor segue o padrão estabelecido pelo modelo de Telemedicina americano, com a finalidade de estimular a medicina preventiva e agilizar as consultas e prescrições médicas, além de viabilizar o acesso ao atendimento médico rápido e confortável àqueles que vivem a rotina insana das grandes metrópoles e, até mesmo, às pessoas que estão nas regiões mais remotas do país.Para utilizar o serviço, o paciente entra em contato com a equipe médica por meio da plataforma e preenche uma ficha clínica. Esta ficha chega ao médico, que analisa o caso, e, por meio da Telemedicina, pode solicitar uma videoconferência, exames, além de indicar tratamentos e emitir laudos.O programa, que tem como base tecnologia americana, recebeu adaptações às Normas Legais brasileiras, e conta com todas autenticações legais e digitais necessárias para exercer a Telemedicina no país, além de seguir as regras estabelecidas pelo Conselho Federal de Medicina (CFM) e pela Sociedade Brasileira de Informática em Saúde (SIBS).";0
"5G e Saúde: cirurgia remota e outras aplicações 
 Conversei com Marcos Scheffer, Vice-Presidente de Redes da Ericsson, sobre as aplicações das novas tecnologias de 5G na área de saúde.Estamos caminhando para a adoção da tecnologia e a ideia é melhorar a experiência do tráfego de dados. Segundo Marcos, a baixa latência, ou seja, menor tempo de reação; maior velocidade, confiabilidade e segurança são os grandes diferenciais para adoção da tecnologia. “Já temos as primeiras notícias para lançamentos comerciais para o último trimestre do ano. No Brasil, prevemos as primeiras redes comerciais até o início de 2020 de acordo com o calendário de leilão das operadoras de telefonia”, diz Scheffer.A Ericsson, em parceria com a Vivo, realizou uma prova de conceito em cirurgia remota. Em termos de tecnologia, é necessário um intervalo mínimo entre o comando do profissional e a realização do movimento na ponta e, além disso, a resposta para o profissional também deve acontecer com baixíssima latência.A empresa tem uma parceria com a King’s College, universidade britânica, para a combinação entre cirurgia robótica e infraestrutura 5G. A ideia é permitir a transferência de dados visuais, auditivos e táteis. Com isso, a possibilidade de uma atenção à saúde remota torna-se mais assertiva e viável.Com a adoção da tecnologia 5G, é esperada uma evolução em relação ao que temos. “Estamos falando de uma redução de 10 vezes no período de latência. Com 4G, esse tempo de atraso é de 30 a 50 milissegundos. Já com 5G, isso é reduzido para 1 a 7 ms”, diz Marcos. “A tecnologia já está aí, agora é uma questão mais legal que tecnológica”, completa.Esta redução, além da aplicação comentada em cirurgia remota, também pode ser bastante útil para monitoramento remoto de pacientes com dispositivos vestíveis, ambulâncias conectadas e, claro, para transferência de dados em curtíssimo período de tempo dentro das organizações.Para entender o potencial de mercado do setor de saúde, segundo Marcos, a Ericsson lançou um estudo de verticais e saúde encontra-se em 4º lugar.Só fica atrás de energia e utilities, automação industrial e segurança pública.";0
"Tecnologia de análise de dados confirma predominância do diabetes no Brasil 
 Lançado em 2006, o projeto ELSA-Brasil (Estudo Longitudinal de Saúde do Adulto) tem como objetivo investigar o desenvolvimento e os fatores de risco para quatro das principais doenças crônicas não-transmissíveis e presentes na vida da população entre 35 e 74 anos de idade – em particular as enfermidades cardiovasculares e o diabetes. Outra meta do projeto é contribuir para a qualificação dos especialistas em epidemiologia de doenças crônicas e melhora da pesquisa científica nessa área do conhecimento.Para aprimorar esse trabalho, os pesquisadores do ELSA-Brasil decidiram fazer uso da tecnologia do SAS, líder global em softwares e serviços de análise de dados, resultando em estudos cada vez mais relevantes para o entendimento do perfil das principais doenças que afetam o país.No caso do diabetes, resultados recentes mostraram que, entre 15% e 20% dos cerca de 15 mil participantes do projeto já desenvolveram a doença. “Somado ao grupo dos que estão na fase da pré-diabetes – quando os níveis de glicemia aumentam o risco de desenvolver diabetes no curto prazo –, isso equivale a dois terços”, diz o vice-coordenador do Centro de Investigação do ELSA-Brasil no Rio Grande do Sul e coordenador do Centro de Dados do projeto, Bruce Duncan. Outro dado significativo é que, mesmo se uma pessoa hoje, aos 45 anos, não apresenta nenhuma anormalidade glicêmica, aos 65 estará sob risco de desenvolver diabetes ou pré-diabetes.Em relação às doenças cardiovasculares, como infarto, AVC, insuficiência cardíaca e hipertensão, o estudo demonstra altas prevalências de fatores de risco, passíveis de modificação. “Se os brasileiros adotassem estilos de vida mais saudáveis, haveria bem menos casos de obesidade, diabetes, dislipidemia (distúrbios nos níveis de lipídios no sangue) e hipertensão, além das doenças cardiovasculares”, explica Duncan. Como consequência dos bons hábitos, haveria melhor uso dos recursos do Sistema Único de Saúde. Tais doenças, inclusive, podem afetar seriamente o PIB dos países em decorrência dos altos custos com internações e tratamentos de alta complexidade.Como funciona o ELSAA ideia do ELSA-Brasil surgiu a partir da escassez de estudos em populações adultas sobre as doenças crônicas não transmissíveis no Brasil, que, com a transição nutricional e epidemiológica em curso, se converteram nas principais causas da carga de doenças no país.A coleta das informações tem início a partir de visitas clínicas realizadas a cada quatro anos, onde são feitos exames clínicos e laboratoriais e entrevistas com os participantes do projeto. O trabalho é realizado em seis centros de estudos, localizados em instituições públicas de ensino superior e pesquisa nas regiões Nordeste, Sudeste e Sul. A primeira série de consultas ocorreu em 2008 e o terceiro ciclo está em andamento, com término previsto para o início de 2019. As informações coletadas sobre os pacientes são transmitidas pela internet e armazenadas no Centro de Dados.Definidas as bases de dados principais do projeto, com o uso das ferramentas do SAS, as informações são distribuídas às seis instituições, onde são analisadas, resultando em apresentações e artigos científicos. Até agora, já foram utilizadas 32 bases de dados, somando cerca de 41 mil variáveis de informações.Após cada ciclo de visitas clínicas, os responsáveis pelo ELSA-Brasil continuam o monitoramento dos participantes por meio de ligações telefônicas para a obtenção de novas informações, inclusive relacionadas a casos de internação e suas causas.Foco do projetoDe acordo com Bruce Duncan, o projeto tem como foco principal as doenças cardiovasculares e o diabetes devido a uma mudança significativa no perfil epidemiológico brasileiro nas últimas duas décadas.Se em 1990 o que chamava a atenção eram as doenças responsáveis pelo alto índice de mortalidade infantil até então, as enfermidades crônicas tornaram-se predominantes. “Se hoje não temos tantas crianças morrendo em decorrência de problemas como a diarreia, por exemplo, as doenças crônicas ficam em evidência, como resultado também da maior expectativa de vida da população, o que a torna mais exposta a fatores de risco como excesso de álcool, fumo e sedentarismo”, explica o pesquisador.No final deste ano, os pesquisadores pretendem continuar aprimorando os resultados obtidos com a extração e análise dos dados usando as ferramentas analíticas do SAS. Um novo ciclo de visitas clínicas já está sendo cogitado, por meio de conversas atualmente mantidas com o Ministério da Saúde, com previsão de início em 2022.Nesse cenário, o ELSA-Brasil é a oportunidade que o país tem para obter um melhor entendimento dos fatores de risco e também para caracterizar em que nível se encontra hoje o desenvolvimento de tais doenças e suas principais complicações.";0
